"고유번호","구명","구코드","2007년환산량","2008년환산량","경도","위도"
"25","광진구","215","320.69791189","327.23130497","127.085765","37.5481447"
"24","영등포구","560","433.13303608","438.57081075","126.9139239","37.5206414"
"23","송파구","710","490.23639292","519.52380768","127.1144708","37.5048509"
"22","양천구","470","338.95147784","343.41516646","126.8561354","37.5270363"
"21","금천구","545","235.60045054","236.54420669","126.9001525","37.4600745"
"20","구로구","530","351.37168420","358.15671290","126.8581205","37.4956768"
"19","강서구","500","401.12320936","393.73895483","126.8226558","37.5657621"
"18","은평구","380","287.30966840","286.44809309","126.9227001","37.6176107"
"17","서초구","650","543.33105576","553.23875171","127.0378001","37.4769532"
"16","강동구","740","283.43157513","286.29954438","127.1464401","37.549233"
"15","강남구","680","933.44867755","954.24894691","127.0664088","37.4959815"
"14","마포구","440","324.29870840","338.03032791","126.9087792","37.5622933"
"13","서대문구","410","281.12072032","281.20785211","126.9356676","37.5828688"
"12","용산구","170","264.00241543","269.87517491","126.9809422","37.5311061"
"11","노원구","350","471.25270575","476.06275108","127.0771199","37.6552597"
"10","도봉구","320","264.21120164","266.62862083","127.0317954","37.6658587"
"9","성북구","290","315.14618766","323.92508608","127.0232435","37.6069889"
"8","강북구","305","218.36237455","219.95590981","127.0147136","37.6469903"
"7","중랑구","260","246.74889224","255.17664825","127.093966","37.5953753"
"6","성동구","200","307.98711328","313.46050540","127.0409626","37.5506718"
"5","동대문구","230","283.79486235","293.72594133","127.0506879","37.5837941"
"4","종로구","110","286.73440840","309.27982133","126.986175","37.5991001"
"3","중구","140","368.81795546","381.95567513","126.9941953","37.5579449"
"2","동작구","590","287.07023383","288.11756336","126.9443079","37.4965073"
"1","관악구","620","377.91550332","379.42654129","126.9438067","37.4654"